特征,重要性
BMI_Category,0.38739816003420174
Weight,0.23424804772367752
FCVC,0.06607482589444204
Gender,0.06602447959754018
Age,0.046249007351221325
Height,0.03523109771025416
CAEC,0.024959138367451342
family_history_with_overweight,0.024527872595639606
NCP,0.02384662236287882
Regular_Eater,0.014639866032319928
CALC,0.012593720832672486
Age_Group,0.01191590572690855
TUE,0.010597678634267724
CH2O,0.010347991170921089
FAF,0.008089261967858133
FAVC,0.008011918113116094
Activity_Index,0.006361360413556535
MTRANS,0.00509146778428191
Healthy_Eater,0.0029473634613574142
SCC,0.000783388590644459
SMOKE,6.082563478898053e-05
