真实标签,预测标签,是否正确
0,0,True
1,1,True
6,6,True
4,4,True
3,3,True
2,2,True
3,3,True
1,1,True
3,3,True
5,5,True
0,0,True
1,1,True
4,4,True
5,5,True
1,1,True
5,5,True
2,1,False
2,2,True
6,6,True
1,1,True
1,1,True
3,3,True
3,3,True
5,5,True
6,6,True
5,5,True
2,2,True
4,4,True
6,6,True
2,1,False
3,3,True
2,2,True
5,5,True
5,5,True
4,4,True
1,1,True
4,4,True
0,0,True
5,5,True
0,0,True
6,6,True
0,0,True
4,4,True
4,4,True
6,6,True
4,4,True
0,0,True
6,6,True
3,3,True
1,1,True
4,4,True
0,0,True
5,5,True
2,2,True
6,6,True
1,1,True
4,4,True
4,4,True
4,4,True
3,3,True
6,6,True
6,6,True
0,0,True
6,6,True
5,5,True
2,3,False
3,3,True
0,0,True
3,3,True
3,3,True
4,4,True
5,5,True
0,0,True
0,0,True
2,2,True
0,0,True
0,0,True
0,0,True
2,2,True
2,2,True
1,1,True
6,6,True
4,4,True
2,3,False
1,1,True
5,5,True
4,4,True
5,5,True
6,6,True
6,6,True
3,3,True
6,6,True
2,1,False
3,3,True
5,5,True
6,6,True
0,0,True
1,1,True
4,4,True
3,3,True
3,3,True
3,3,True
3,3,True
5,5,True
6,6,True
4,4,True
2,2,True
2,2,True
6,6,True
3,3,True
6,6,True
1,1,True
5,5,True
4,4,True
5,5,True
4,4,True
0,0,True
4,4,True
1,1,True
1,1,True
4,4,True
6,6,True
4,4,True
0,0,True
2,2,True
3,3,True
6,6,True
6,6,True
5,5,True
3,3,True
4,4,True
6,6,True
0,1,False
0,0,True
0,0,True
5,5,True
2,2,True
2,2,True
4,4,True
0,0,True
5,5,True
2,2,True
4,4,True
2,2,True
2,2,True
3,3,True
6,6,True
2,3,False
0,0,True
5,5,True
5,5,True
5,5,True
4,4,True
0,0,True
4,4,True
3,2,False
4,4,True
2,1,False
5,5,True
6,6,True
1,1,True
3,3,True
2,2,True
2,1,False
4,4,True
6,6,True
5,5,True
6,6,True
6,6,True
4,4,True
5,5,True
1,1,True
1,1,True
3,3,True
3,3,True
5,5,True
3,3,True
5,5,True
1,1,True
6,6,True
3,3,True
3,3,True
2,2,True
3,3,True
0,0,True
0,0,True
1,1,True
4,4,True
2,2,True
6,6,True
5,5,True
6,6,True
4,4,True
5,5,True
1,1,True
3,3,True
6,6,True
1,1,True
4,4,True
2,4,False
3,4,False
4,4,True
6,6,True
6,6,True
1,1,True
0,0,True
2,2,True
5,5,True
5,5,True
4,4,True
0,0,True
4,4,True
1,1,True
6,6,True
6,6,True
6,6,True
5,5,True
2,2,True
2,1,False
6,6,True
1,1,True
4,4,True
2,2,True
3,3,True
1,1,True
5,5,True
3,3,True
4,4,True
3,3,True
5,5,True
6,6,True
0,0,True
2,2,True
4,4,True
6,6,True
6,6,True
1,1,True
0,0,True
3,3,True
5,5,True
4,4,True
1,1,True
4,4,True
2,2,True
1,1,True
5,5,True
1,1,True
0,0,True
2,2,True
3,3,True
6,6,True
1,1,True
4,4,True
6,6,True
3,3,True
4,4,True
2,3,False
4,4,True
6,6,True
3,3,True
4,4,True
2,1,False
1,1,True
2,2,True
5,5,True
2,2,True
6,6,True
4,4,True
5,5,True
2,2,True
2,2,True
0,0,True
4,4,True
5,5,True
6,6,True
4,4,True
3,3,True
0,0,True
3,3,True
5,5,True
2,2,True
4,4,True
6,6,True
1,1,True
1,1,True
5,5,True
2,2,True
6,6,True
3,3,True
4,4,True
5,5,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
5,5,True
5,5,True
6,6,True
1,1,True
6,6,True
5,5,True
1,1,True
0,0,True
1,1,True
6,6,True
2,2,True
5,5,True
4,4,True
4,4,True
5,5,True
1,1,True
4,4,True
2,2,True
6,6,True
4,4,True
5,5,True
4,4,True
2,1,False
5,5,True
0,0,True
4,4,True
1,1,True
2,2,True
6,6,True
3,3,True
5,5,True
3,3,True
0,0,True
4,4,True
6,6,True
4,4,True
2,2,True
1,1,True
2,2,True
0,0,True
0,1,False
5,5,True
6,6,True
4,4,True
3,3,True
6,6,True
1,1,True
4,4,True
0,0,True
1,1,True
0,0,True
0,0,True
3,3,True
3,3,True
5,5,True
3,3,True
1,1,True
3,3,True
1,1,True
1,1,True
4,4,True
0,0,True
4,4,True
2,2,True
1,1,True
3,3,True
0,0,True
6,6,True
2,2,True
0,0,True
4,4,True
6,6,True
5,5,True
1,1,True
0,0,True
6,6,True
4,4,True
4,4,True
4,4,True
3,1,False
2,2,True
0,0,True
1,1,True
3,3,True
3,3,True
1,1,True
0,0,True
3,4,False
0,0,True
5,5,True
5,5,True
1,1,True
6,6,True
3,3,True
4,4,True
5,5,True
5,5,True
6,6,True
0,0,True
0,0,True
6,6,True
3,3,True
6,6,True
1,1,True
0,0,True
4,4,True
4,4,True
0,0,True
4,4,True
2,2,True
5,5,True
1,1,True
5,5,True
2,2,True
2,2,True
6,6,True
1,1,True
1,1,True
0,1,False
3,3,True
2,2,True
1,1,True
3,3,True
6,6,True
3,1,False
1,1,True
2,3,False
