特征,重要性
Weight_Height_Ratio,0.709216751031923
Weight,0.18842026692573802
Weight_Age_Interaction,0.04024534584427203
Height,0.026844368256851155
Gender,0.024661349527756636
Age,0.007937585620098131
Height_Age_Interaction,0.0006871029923199958
FCVC,0.00043483308874599816
CH2O,0.0003589178168416719
FAF,0.00032606764837617104
CALC,0.00023579903083441355
CAEC,0.0002176706173912003
TUE,0.0002009186128072603
NCP,0.0001320223946195619
FAVC,6.044879842631137e-05
family_history_with_overweight,1.0367540504045402e-05
MTRANS,8.278966450139366e-06
SMOKE,1.5454449053917676e-06
SCC,3.598411389199035e-07
